company,sum_visibility,sum_monthly_average,sum_visibility_over_monthly_avg
Quest 3,1284624,738418,1.73969757
Nintendo Switch,4869143,4454285,1.093136833
Gaming headset,578593,590595,0.9796781212
PlayStation 5,6349872,7968749,0.7968467823
Xbox,3764359,5095287,0.7387923389
Roblox gift card,579148,1318070,0.4393909276
